timestamp,coin,price
2025-11-07 10:49:21,bitcoin,102329
2025-11-07 10:49:21,ethereum,3355.97
2025-11-07 10:49:21,tether,0.99959
2025-11-07 10:49:21,ripple,2.23
2025-11-07 10:49:21,binancecoin,963.98
2025-11-07 10:49:21,solana,157.53
2025-11-07 10:49:21,usd-coin,0.999703
2025-11-07 10:49:21,staked-ether,3353.75
2025-11-07 10:49:21,tron,0.287141
2025-11-07 10:49:21,dogecoin,0.16572
2025-11-07 11:00:55,bitcoin,102303
2025-11-07 11:00:55,ethereum,3355.5
2025-11-07 11:00:55,tether,0.999575
2025-11-07 11:00:55,ripple,2.23
2025-11-07 11:00:55,binancecoin,965.34
2025-11-07 11:00:55,solana,157.19
2025-11-07 11:00:55,usd-coin,0.999704
2025-11-07 11:00:55,staked-ether,3349.54
2025-11-07 11:00:55,tron,0.287141
2025-11-07 11:00:55,dogecoin,0.165697
