timestamp,coin,price
2025-11-12 16:17:05,bitcoin,104829
2025-11-12 16:17:05,ethereum,3529.44
2025-11-12 16:17:05,tether,0.999958
2025-11-12 16:17:05,ripple,2.42
2025-11-12 16:17:05,binancecoin,971.25
2025-11-12 16:17:05,solana,159.54
2025-11-12 16:17:05,usd-coin,0.999709
2025-11-12 16:17:05,staked-ether,3524.9
2025-11-12 16:17:05,tron,0.299148
2025-11-12 16:17:05,dogecoin,0.175988
2025-11-12 16:17:25,bitcoin,104829
2025-11-12 16:17:25,ethereum,3529.44
2025-11-12 16:17:25,tether,0.999958
2025-11-12 16:17:25,ripple,2.42
2025-11-12 16:17:25,binancecoin,971.25
2025-11-12 16:17:25,solana,159.54
2025-11-12 16:17:25,usd-coin,0.999709
2025-11-12 16:17:25,staked-ether,3524.9
2025-11-12 16:17:25,tron,0.299148
2025-11-12 16:17:25,dogecoin,0.175988
2025-11-12 16:17:41,bitcoin,104829
2025-11-12 16:17:41,ethereum,3529.44
2025-11-12 16:17:41,tether,0.999958
2025-11-12 16:17:41,ripple,2.42
2025-11-12 16:17:41,binancecoin,971.25
2025-11-12 16:17:41,solana,159.54
2025-11-12 16:17:41,usd-coin,0.999709
2025-11-12 16:17:41,staked-ether,3524.9
2025-11-12 16:17:41,tron,0.299148
2025-11-12 16:17:41,dogecoin,0.175988
